participant_id,survey_type,outside_activity_engagement,outside_activity_frequency,days_checked_for_smoke_info,reduced_outdoor_activities_due_to_smoke,consecutive_days_reduced_outdoor_activity,min_aqi_reduce_activity,min_aqi_eliminate_activity,motivating_info_to_reduce_outdoor_activity
Participant 1143,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1144,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1145,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1146,online,Yes – Please list the activities __________________,A few times per week,4-5 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1147,online,Yes – Please list the activities __________________,A few times per week,1 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 1148,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1149,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,6 days and more,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 115,in_person,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 115,online,Yes – Please list the activities __________________,Daily,1 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1150,online,No (skip to question 11),,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1151,online,No (skip to question 11),,6-7 days,,6 days and more,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1152,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1153,online,Yes – Please list the activities __________________,Daily,,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1154,online,Yes – Please list the activities __________________,A few times per week,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Air quality information
Participant 1155,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 1156,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Purple – Very Unhealthy,Maroon – Hazardous,Smoke-related health problem statistics
Participant 1157,online,Yes – Please list the activities __________________,Daily,1 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Smoke-related health problem statistics
Participant 1158,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,4 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 1159,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 116,in_person,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",0 days,No,0 days,Purple – Very Unhealthy,Maroon – Hazardous,
Participant 116,online,Yes – Please list the activities __________________,Once per week,1 days,Yes,1 to 2 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1160,online,No (skip to question 11),,0 days,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 1161,online,Yes – Please list the activities __________________,A few times per week,,Yes,3 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1162,online,Yes – Please list the activities __________________,A few times per week,,No,1 to 2 days,Red – Unhealthy,Purple – Very Unhealthy,Smoke-related health problem statistics
Participant 1163,online,Yes – Please list the activities __________________,A few times per week,2 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1164,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1165,online,Yes – Please list the activities __________________,A few times per week,6-7 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 1166,online,Yes – Please list the activities __________________,Daily,2 days,Yes,1 to 2 days,Maroon – Hazardous,Maroon – Hazardous,Your own visual observation (seeing the smoke outside)
Participant 1167,online,Yes – Please list the activities __________________,Daily,4-5 days,No,0 days,Purple – Very Unhealthy,Purple – Very Unhealthy,Air quality information
Participant 1168,online,Yes – Please list the activities __________________,Daily,6-7 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1169,online,Yes – Please list the activities __________________,Once per week,3 days,Yes,1 to 2 days,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Air quality information
Participant 117,in_person,No (skip to question 11),,3 days,No,0 days,Red – Unhealthy,Red – Unhealthy,Advice from your doctor
Participant 117,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,6 days and more,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups,Your own visual observation (seeing the smoke outside)
Participant 1170,online,Yes – Please list the activities __________________,Daily,2 days,Yes,3 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1171,online,Yes – Please list the activities __________________,A few times per week,4-5 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1172,online,Yes – Please list the activities __________________,Daily,4-5 days,Yes,1 to 2 days,Red – Unhealthy,Red – Unhealthy,Air quality information
Participant 1173,online,No (skip to question 11),,1 days,Yes,0 days,,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1174,online,Yes – Please list the activities __________________,Once per week,3 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1175,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,6-7 days,Yes,6 days and more,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups,Smoke-related health problem statistics
Participant 1176,online,Yes – Please list the activities __________________,Rarely – A few times during the summer,,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Your own visual observation (seeing the smoke outside)
Participant 1177,online,Yes – Please list the activities __________________,"Less than once per week, but more than once per month",,Yes,4 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Your own visual observation (seeing the smoke outside)
Participant 1178,online,Yes – Please list the activities __________________,Once per week,3 days,Yes,5 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 1179,online,Yes – Please list the activities __________________,Daily,,No,0 days,I am not familiar with this rating,I am not familiar with this rating,Wildfire information
Participant 118,in_person,Yes – Please list the activities __________________,Daily,6-7 days,Yes,1 to 2 days,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy,Air quality information
Participant 118,online,,,,,,,,
Participant 1180,online,Yes – Please list the activities __________________,Daily,0 days,No,0 days,Maroon – Hazardous,Maroon – Hazardous,Advice from your doctor
Participant 1181,online,Yes – Please list the activities __________________,A few times per week,3 days,Yes,3 days,Red – Unhealthy,Red – Unhealthy,Smoke-related health problem statistics
Participant 1182,online,Yes – Please list the activities __________________,Daily,6-7 days,No,0 days,Red – Unhealthy,Purple – Very Unhealthy,Air quality information
