participant_id,reduced_outdoor_activities_due_to_smoke,outside_activity_frequency,min_aqi_reduce_activity,min_aqi_eliminate_activity
Participant 398,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 399,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 399,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 4,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 40,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 40,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 400,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 401,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 401,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 402,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 402,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 403,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 403,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 404,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 404,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 405,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 405,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 406,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 406,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 407,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 407,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 408,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","51-100:
Moderate"
Participant 408,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 409,Yes,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 409,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 41,Yes,~1 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 41,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 410,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 410,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 411,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 411,No,~3 per week,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 412,Yes,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 412,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 413,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 413,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 414,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 414,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 415,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 415,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 416,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 416,No,~1-3 per month,"301+:
Hazardous","301+:
Hazardous"
Participant 417,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 418,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 418,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 419,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 42,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 42,Yes,~1-3 per summer,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 420,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 420,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 421,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 421,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 422,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 422,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 423,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 423,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 425,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 425,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 426,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 427,Yes,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","51-100:
Moderate"
Participant 427,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 428,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 429,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 43,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 430,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 431,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 431,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 432,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 432,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 433,No,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 433,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 434,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 434,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 435,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 436,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 436,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 437,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 437,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 438,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 438,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 439,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 439,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 44,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 44,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 440,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 441,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 441,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 442,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 442,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 443,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 443,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 444,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 444,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 445,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 446,No,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 446,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 447,No,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 447,No,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 448,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 448,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 449,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 449,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 45,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 45,Yes,~1-3 per month,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 450,Yes,~1 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 451,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 451,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 452,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 452,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 453,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 453,No,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 454,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 454,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 455,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 455,No,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 456,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 456,Yes,~3 per week,"151-200:
Unhealthy",I am not familiar with this rating
Participant 457,No,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 457,No,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 458,No,~1 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 458,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 459,No,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 459,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 46,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 460,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 460,Yes,~1-3 per month,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 461,No,~3 per week,"51-100:
Moderate","301+:
Hazardous"
Participant 461,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 462,No,~1-3 per summer,"301+:
Hazardous","151-200:
Unhealthy"
Participant 462,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 463,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 463,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 464,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 464,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 465,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 465,Yes,~1-3 per summer,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 466,Yes,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 466,Yes,~1-3 per summer,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 467,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 467,Yes,Daily,"151-200:
Unhealthy","301+:
Hazardous"
Participant 468,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 468,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 469,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 469,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 47,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 47,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 470,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 470,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 471,No,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 472,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 472,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 473,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 473,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 474,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 474,Yes,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 475,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 475,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 476,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 476,No,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 477,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 478,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 478,No,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 479,Yes,~3 per week,"201-300:
Very Unhealthy","151-200:
Unhealthy"
Participant 479,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 48,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 48,Yes,~1-3 per month,I am not familiar with this rating,I am not familiar with this rating
Participant 480,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 480,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 481,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 481,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 482,No,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 482,Yes,~3 per week,"151-200:
Unhealthy","51-100:
Moderate"
Participant 483,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 483,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 484,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 484,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 485,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 486,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 486,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 487,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 488,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 488,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 489,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 489,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 49,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 49,Yes,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 490,No,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 490,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 491,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 491,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 492,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","301+:
Hazardous"
Participant 492,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 493,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 493,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 494,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 494,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 495,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 496,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 496,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 497,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 497,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 498,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 498,No,~1-3 per summer,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 499,Yes,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 499,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 5,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 5,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 50,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","0-50:
Good"
Participant 50,No,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 500,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 500,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 501,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 502,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 502,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 503,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 503,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 504,No,~1 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 504,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 505,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 505,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 506,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 506,Yes,~1 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 507,Yes,~1-3 per month,"151-200:
Unhealthy","301+:
Hazardous"
Participant 507,Yes,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 508,No,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 508,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 509,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 509,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 51,Yes,Daily,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 51,Yes,~3 per week,"151-200:
Unhealthy","101-150:
Unhealthy for
 Sensitive Grps."
Participant 510,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 510,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 511,Yes,~1 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 512,No,Daily,I am not familiar with this rating,I am not familiar with this rating
Participant 512,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 513,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 513,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 514,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 514,No,~1-3 per month,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 515,Yes,~3 per week,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 515,Yes,~3 per week,"51-100:
Moderate","51-100:
Moderate"
Participant 517,No,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 518,Yes,~1-3 per month,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 519,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 52,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 520,No,~1-3 per month,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 520,Yes,~3 per week,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 521,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 521,No,~3 per week,"301+:
Hazardous","301+:
Hazardous"
Participant 522,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 522,No,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 523,No,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 523,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 524,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 524,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 526,Yes,~1 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 526,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 527,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 527,Yes,Daily,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 528,Yes,~1-3 per month,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 528,Yes,Daily,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 529,No,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 529,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 53,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 53,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 530,No,~1-3 per month,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 530,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 531,No,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 532,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 532,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 533,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 535,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
Participant 535,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 536,Yes,~3 per week,"151-200:
Unhealthy","151-200:
Unhealthy"
Participant 536,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 537,Yes,~3 per week,"51-100:
Moderate","151-200:
Unhealthy"
Participant 537,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 538,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 539,No,~1 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 539,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 54,Yes,Daily,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 540,Yes,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 540,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","151-200:
Unhealthy"
Participant 541,Yes,Daily,"201-300:
Very Unhealthy","201-300:
Very Unhealthy"
Participant 542,No,Daily,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 542,Yes,~3 per week,"151-200:
Unhealthy","301+:
Hazardous"
Participant 543,No,~3 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 543,Yes,~1 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 544,No,~1 per week,I am not familiar with this rating,I am not familiar with this rating
Participant 545,Yes,Daily,"51-100:
Moderate","0-50:
Good"
Participant 546,No,~3 per week,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 546,Yes,~1-3 per month,"51-100:
Moderate","101-150:
Unhealthy for
 Sensitive Grps."
Participant 547,Yes,~3 per week,"101-150:
Unhealthy for
 Sensitive Grps.","201-300:
Very Unhealthy"
Participant 548,Yes,~3 per week,"151-200:
Unhealthy","201-300:
Very Unhealthy"
Participant 549,Yes,Daily,"201-300:
Very Unhealthy","301+:
Hazardous"
Participant 55,Yes,Daily,"301+:
Hazardous","301+:
Hazardous"
Participant 55,Yes,~1-3 per month,"101-150:
Unhealthy for
 Sensitive Grps.","101-150:
Unhealthy for
 Sensitive Grps."
